Echipa,Crt (RANDOM SEED)
 #3ff500,1
,
,
,
134StillAlive,2
,
Admentis,3
,
,
,
Amutrion,4
,
,
AnotherOneBytesTheDust,5
,
,
,
Aproape Buni,6
,
Average Assembly Enjoyers,7
,
,
AYAYA,8
,
,
BBC ++,9
,
,
Berlin,10
,
Boboceiiii,11
,
,
,
Bogdan NLP,12
,
,
Broști Țestoși,13
,
,
,
Ceau_Imi_Place_Sa_Invat_Online,14
,
,
,
Chițcanii de Câmp,15
,
,
,
Cine ii deasupra noastra e fraier,16
,
Cocodrilo,17
,
,
,
Code Breakers,18
,
,
,
confusedMatrix,19
,
,
DAU SPAGA,20
,
,
De prună,21
,
,
Dragoon,22
,
,
,
Dream Epic,23
,
,
Echipa 1,24
,
,
Echipa 2,25
,
,
,
Echipa 3,26
,
,
Echipa 4,27
,
,
,
FIMNlp,28
,
gcodes,29
,
,
,
gpt4,30
,
,
,
"Hello, World!",31
,
,
KratosMessi,32
,
,
,
MSdo's,33
,
NgL we are Pros,34
,
,
,
NLPeople,35
,
,
NLPLN,36
,
,
Petrecere pe luna,37
,
Pufarina,38
,
Run as Administrator,39
,
,
,
Sabie luna plina+9,40
,
,
,
Sad Limit Exceeded,41
,
,
,
SiPlasPlas,42
,
,
String qVARtet,43
,
,
,
urandom,44
,
,
,
Vindicative Veridian Virus,45
,
,
"Vox Twitter, vox dei",46
,
WINLP,47
,
,
,
Yomanic,48